instId,tradeId,Date,Time,Millisec,side,px,sz,lDate,lTime,lMillisec
ETH-USDT,205613694,20220530,153824,112,buy,1905.04,0.031557,20220530,153824,118
ETH-USDT,205613695,20220530,153824,873,buy,1905.04,1e-06,20220530,153824,878
ETH-USDT,205613696,20220530,153824,873,buy,1905.11,0.001089,20220530,153824,878
ETH-USDT,205613697,20220530,153824,973,buy,1905.11,6e-06,20220530,153824,979
ETH-USDT,205613698,20220530,153824,973,buy,1905.14,0.040994,20220530,153824,979
ETH-USDT,205613699,20220530,153827,65,sell,1905.13,0.328875,20220530,153827,71
ETH-USDT,205613700,20220530,153830,894,sell,1905.13,0.026252,20220530,153830,898
ETH-USDT,205613701,20220530,153832,845,buy,1905.14,6e-06,20220530,153832,849
ETH-USDT,205613702,20220530,153832,845,buy,1905.17,0.184894,20220530,153832,849
ETH-USDT,205613703,20220530,153832,995,sell,1905.16,0.001728,20220530,153832,999
ETH-USDT,205613704,20220530,153832,995,sell,1905.16,0.16025,20220530,153832,999
ETH-USDT,205613705,20220530,153832,995,sell,1905.16,0.657,20220530,153832,999
ETH-USDT,205613706,20220530,153832,995,sell,1905.16,0.099997,20220530,153832,999
